Brand,Product Name,Current Price,Original Price,Discount (%),Rating,Reviews,Breadcrumbs,Product URL
ELLE 18,3-Pcs Liquid Lipstick Kit,312,480,35,4.4,152,Home / Personal Care / Lipstick / ELLE 18,https://www.myntra.com/lipstick/elle+18/elle-18-3-pcs-long-lasting-liquid-lipstick-kit-56-ml-each---main-character-energy/36495775/buy
Coloressence,Hydramatte Crayon - Crush,280,350,20,4.4,295,Home / Personal Care / Lipstick / Coloressence,https://www.myntra.com/lipstick/coloressence/coloressence-hydramatte-intense-pigment-long-stay-comfort-lippie-crayon---crush/36493135/buy
MARS,Love Track Velvet Lip Tint,278,299,7,4.5,20.2k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-love-track-velvet-lip-tint---28-ml---three-words/32048835/buy
ETUDE,Dear Darling Water Tint - 4,405,450,10,4.4,25.7k,Home / Personal Care / Lipstick / ETUDE,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy
Colors Queen,Color It All Lip Crayon - 21,213,349,39,4.2,3k,Home / Personal Care / Lipstick / Colors Queen,https://www.myntra.com/lipstick/colors+queen/colors-queen-color-it-all-non-transfer-matte-lip-crayon-with-sharpener-35g-rich-maroon-21/25699526/buy
nandiayan,12 Pcs Matte Liquid Lipsticks,250,1199,79,3.6,1k,Home / Personal Care / Lipstick / nandiayan,https://www.myntra.com/lipstick/nandiayan/nandiayan-set-of-12-liquid-lipstick-with-matte-finish---25ml-each/32619377/buy
nandiayan,6-Pieces Lipstick -3.5 ml Each,180,999,82,3.7,2.6k,Home / Personal Care / Lipstick / nandiayan,https://www.myntra.com/lipstick/nandiayan/nandiayan-set-of-6-long-lasting--smudge-proof-liquid-lipstick----35ml-each/32619379/buy
Coloressence,Lipstay Lipstick- LTP -23,204,275,26,4.5,3.2k,Home / Personal Care / Lipstick / Coloressence,https://www.myntra.com/lipstick/coloressence/coloressence-lipstay-transfer-proof-liquid-lipstick---4ml---mocha---ltp---23-/30767203/buy
MARS,Matte Muse Mousse Lipstick,275,299,8,4.4,22.8k,Home / Personal Care / Lipstick / MARS,https://www.myntra.com/lipstick/mars/mars-matte-muse-lightweight-mousse-lipstick-3ml---leading-lady/32051449/buy
Parul Garg,Silk Matte Liquid Lipstick-3ml,475,595,20,4.3,2k,Home / Personal Care / Lipstick / Parul Garg,https://www.myntra.com/lipstick/parul+garg/parul-garg-smudge-proof-matte-lipstick-with-shea-butter--vitamin-e-primrose-deep-maroon-3ml/32967274/buy
